Level,Organization,Parent_Organization,Leader_Name,Leader_Title,Service_Branch,Location,Description,
5,Air Force A6 Warfighter Communications,Air Force Chief of Staff,MG Michele C. Edmondson,Deputy Chief of Staff,Air Force/Space Force,Pentagon,Air Force cyber,
5,Air Force A8 Plans and Programs,Air Force Chief of Staff,LTG David H. Tabor,Deputy Chief of Staff,Air Force/Space Force,Pentagon,Air Force plans,
5,Air Force A10 Strategic Deterrence,Air Force Chief of Staff,LTG Brandon D. Parker,Deputy Chief of Staff,Air Force/Space Force,Pentagon,Nuclear deterrence,
5,Air Force Materiel Command AFMC,Air Force Chief of Staff,LTG Linda S. Hurry,Commander,Air Force/Space Force,Dayton OH,Air Force materiel,
5,Air Combat Command ACC,Air Force Chief of Staff,GEN Adrian L. Spain,Commander,Air Force/Space Force,Langley AFB VA,Air combat,
5,Air Education and Training Command AETC,Air Force Chief of Staff,LTG Clark J. Quinn,Commander,Air Force/Space Force,San Antonio TX,Air Force training,
5,Air Force Global Strike Command AFGSC,Air Force Chief of Staff,GEN Stephen L. Davis,Commander,Air Force/Space Force,Barksdale AFB LA,Strategic nuclear deterrence,
5,Air Mobility Command AMC,U.S. Transportation Command,LTG Daniel H. Tulley,Commander,Air Force/Space Force,Scott AFB IL,Air mobility,
5,Pacific Air Forces PACAF,Air Force Chief of Staff,GEN Kevin B. Schneider,Commander,Air Force/Space Force,Hickam AFB HI,Pacific air,
5,Air Force Special Operations Command AFSOC,Air Force Chief of Staff,LTG Michael E. Conley,Commander,Air Force/Space Force,Hurlburt Field FL,Air Force special operations,
5,Air Force Life Cycle Management Center AFLCMC,Air Force Materiel Command,LTG Donna D. Shipton,Commander,Air Force/Space Force,Dayton OH,Life cycle management,
5,Air Force Sustainment Center,Air Force Materiel Command,LTG Jennifer Hammerstedt,Commander,Air Force/Space Force,Tinker AFB OK,Sustainment and depot,
5,Air Force Research Laboratory AFRL,Air Force Materiel Command,BG Jason E. Bartolomei,Commander,Air Force/Space Force,Dayton OH,Research and development,
5,Air Force Nuclear Weapons Center AFNWC,Air Force Materiel Command,BG William Rogers,Commander,Air Force/Space Force,Kirtland AFB NM,Nuclear weapons,
5,Air Force Test Center,Air Force Materiel Command,Various,Commander,Air Force/Space Force,Edwards AFB CA,Test and evaluation,
5,Air Force Academy,Air Force Chief of Staff,LTG Paul D. Moga,Superintendent,Air Force/Space Force,Colorado Springs CO,Service academy,
5,Air University,Air Education and Training Command,LTG Daniel H. Tulley,Commander,Air Force/Space Force,Maxwell AFB AL,Air Force education,
5,Second Air Force,Air Education and Training Command,MG Wolfe Davidson,Commander,Air Force/Space Force,San Antonio TX,Basic training,
5,Air Force Warfare Center,Air Combat Command,BG David C. Epperson,Commander,Air Force/Space Force,Nellis AFB NV,Warfare center,
5,1st Air Force Air Forces Northern,Air Combat Command,LTG M. Luke Ahmann,Commander,Air Force/Space Force,Tyndall AFB FL,Air defense NORTHCOM,
5,9th Air Force Air Forces Central,Air Combat Command,LTG Derek C. France,Commander,Air Force/Space Force,Shaw AFB SC,Air defense CENTCOM,
5,12th Air Force Air Forces Southern,Air Combat Command,MG David A. Mineau,Commander,Air Force/Space Force,Davis-Monthan AFB AZ,Air defense SOUTHCOM,
5,16th Air Force Air Forces Cyber,Air Combat Command,LTG Thomas K. Hensley,Commander,Air Force/Space Force,Lackland AFB TX,Cyber operations,
5,3rd Air Force,U.S. Air Forces in Europe,MG Paul D. Moga,Commander,Air Force/Space Force,Ramstein AB Germany,Europe air,
5,5th Air Force,Pacific Air Forces,LTG Joel L. Carey,Commander,Air Force/Space Force,Yokota AB Japan,Japan air,
5,7th Air Force,Pacific Air Forces,LTG David R. Iverson,Commander,Air Force/Space Force,Osan AB Korea,Korea air,
5,11th Air Force,Pacific Air Forces,LTG David R. Iverson,Commander,Air Force/Space Force,JBER Alaska,Alaska air,
5,8th Air Force,Air Force Global Strike Command,MG Ty W. Neuman,Commander,Air Force/Space Force,Barksdale AFB LA,Bomber force,
5,20th Air Force,Air Force Global Strike Command,MG Stacey J. Huser,Commander,Air Force/Space Force,F.E. Warren AFB WY,ICBM force,
5,AFWERX,Air Force Research Laboratory,COL Nathan C. Stuckey,Director,Air Force/Space Force,Dayton OH,Air Force innovation arm,
5,SpaceWERX,Air Force Research Laboratory,Arthur F. Grijalva,Director,Air Force/Space Force,Kirtland AFB NM,Space Force innovation arm,
5,Air Force Office of Scientific Research AFOSR,Air Force Research Laboratory,Dr. Lovica Ware,Acting Director,Air Force/Space Force,Arlington VA,Basic research,
5,PAE C3BM,SAF AQ,MG Luke Cropsey,Portfolio Acquisition Executive,Air Force/Space Force,Lexington MA,Command control communications battle management,
5,PAE Fighters and Advanced Aircraft,SAF AQ,COL Timothy Helfrich,Portfolio Acquisition Executive,Air Force/Space Force,Dayton OH,Fighters and advanced aircraft,
5,PAE Nuclear Command Control and Communications NC3,SAF AQ,Scott Hardiman SES,Portfolio Acquisition Executive,Air Force/Space Force,Dayton OH,NC3 systems,
5,PAE Propulsion,SAF AQ,John Sneden SES,Portfolio Acquisition Executive,Air Force/Space Force,Dayton OH,Propulsion systems,
5,PAE Weapons,SAF AQ,BG Robert Lyons III,Portfolio Acquisition Executive,Air Force/Space Force,Eglin AFB FL,Weapons systems,
5,PEO Combat and Mission Support Services,SAF AQ,Randall D. Culpepper,Program Executive Officer,Air Force/Space Force,San Antonio TX,Combat support,
5,Air Force Rapid Capabilities Office AFRCO,SAF AQ,William D. Bailey SES,Program Executive Officer,Air Force/Space Force,Dayton OH,Rapid capabilities,
5,AFLCMC PEO C3BM,Air Force Life Cycle Management Center,BG Jason D. Voorheis,Program Executive Officer,Air Force/Space Force,Lexington MA,C3BM,
5,AFLCMC PEO Armament,Air Force Life Cycle Management Center,BG Robert Lyons III,Program Executive Officer,Air Force/Space Force,Eglin AFB FL,Armaments,
5,AFLCMC PEO Business and Enterprise Systems,Air Force Life Cycle Management Center,Mr. Alvin Burse SES,Program Executive Officer,Air Force/Space Force,Maxwell AFB AL,Business systems,
5,AFLCMC PEO Electronic Systems,Air Force Life Cycle Management Center,Ms. Lea Kirkwood SES,Program Executive Officer,Air Force/Space Force,Lexington MA,Electronic systems,
5,AFLCMC PEO Cyber and Networks,Air Force Life Cycle Management Center,BG Joshua P. Williams,Program Executive Officer,Air Force/Space Force,Lexington MA,Cyber and networks,
5,AFLCMC PEO Fighters and Advanced Aircraft,Air Force Life Cycle Management Center,COL Timothy Helfrich,Program Executive Officer,Air Force/Space Force,Dayton OH,Fighters,
5,AFLCMC PEO Bombers,Air Force Life Cycle Management Center,COL Timothy Spaulding,Program Executive Officer,Air Force/Space Force,Dayton OH,Bombers,
5,AFLCMC PEO ISR and SOF,Air Force Life Cycle Management Center,COL John Dayton,Program Executive Officer,Air Force/Space Force,Dayton OH,ISR and SOF,
5,AFLCMC PEO Mobility,Air Force Life Cycle Management Center,Kevin Stamey SES,Program Executive Officer,Air Force/Space Force,Dayton OH,Mobility aircraft,
5,AFLCMC PEO Training,Air Force Life Cycle Management Center,Rodney Stevens SES,Program Executive Officer,Air Force/Space Force,Dayton OH,Training aircraft,
5,AFLCMC PEO Presidential and Executive Aircraft,Air Force Life Cycle Management Center,BG William L. Ottati,Program Executive Officer,Air Force/Space Force,Dayton OH,VC-25 and executive aircraft,
5,AFLCMC PEO Joint Strike Fighter,Air Force Life Cycle Management Center,LTG Gregory L. Masiello,Program Executive Officer,Air Force/Space Force,Arlington VA,F-35 program,
4,United States Space Force,Department of the Air Force,GEN B. Chance Saltzman,Chief of Space Operations,Space Force,Pentagon,Independent military service for space,
5,Chief of Space Operations,United States Space Force,GEN B. Chance Saltzman,Chief of Space Operations,Space Force,Pentagon,Highest ranking Space Force officer,
5,Vice Chief of Space Operations,United States Space Force,GEN Shawn N. Bratton,Vice CSO,Space Force,Pentagon,Second highest Space Force officer,
5,Space Force HQ Staff S-1 Personnel,Chief of Space Operations,Katharine Kelley SES,Deputy Chief,Space Force,Pentagon,Space Force personnel,
5,Space Force HQ Staff S-2 Intelligence,Chief of Space Operations,BG Brian D. Sidari,Deputy Chief,Space Force,Pentagon,Space Force intelligence,
5,Space Force HQ Staff S-3/4/7/10 Operations,Chief of Space Operations,LTG Douglas Schiess,Deputy Chief,Space Force,Pentagon,Space Force operations,
5,Space Force HQ Staff S-5/8 Strategy,Chief of Space Operations,LTG David N. Miller,Deputy Chief CSRO,Space Force,Pentagon,Space Force strategy,
5,Space Force HQ Staff S-6 Cyber Data,Chief of Space Operations,Ms. Charleen Laughlin SES,Deputy Chief,Space Force,Pentagon,Space Force cyber,
5,Space Systems Command SSC,Chief of Space Operations,LTG Philip A. Garrant,Commander,Space Force,Los Angeles AFB CA,Space acquisition,
5,Combat Forces Command SpOC,Chief of Space Operations,LTG Greg Gagnon,Commander,Space Force,Peterson SFB CO,Space operations,
5,Space Training and Readiness Command STARCOM,Chief of Space Operations,MG James E. Smith,Commander,Space Force,Peterson SFB CO,Space training,
5,Space Development Agency SDA,Space Systems Command,Dr. Gurpartap GP Sandhoo,Director,Space Force,Chantilly VA,Space development,
5,Space Rapid Capabilities Office SpRCO,Space Systems Command,Dr. Kelly D. Hammett SES,Program Executive Officer,Space Force,Albuquerque NM,Space rapid capabilities,
5,Space Delta 2 Space Domain Awareness,Combat Forces Command,COL Barry A. Croker,Commander,Space Force,Peterson SFB CO,Space domain awareness,
5,Space Delta 3 Space Electromagnetic Warfare,Combat Forces Command,COL Angelo Fernandez,Commander,Space Force,Peterson SFB CO,Space EW,
5,Space Delta 4 Missile Warning,Combat Forces Command,COL Aaron L. Cochran,Commander,Space Force,Buckley SFB CO,Missile warning,
5,Space Delta 6 Cyberspace Warfare,Combat Forces Command,COL Travis R. Prater,Commander,Space Force,Schriever SFB CO,Cyberspace,
5,Space Delta 7 ISR and Targeting,Combat Forces Command,COL Phoenix L. Hauser,Commander,Space Force,Peterson SFB CO,Space ISR,
5,Space Delta 8 SATCOM Early Warning,Combat Forces Command,COL Jeffery E. Weisler,Commander,Space Force,Schriever SFB CO,SATCOM,
5,Space Delta 9 Orbital Warfare,Combat Forces Command,COL Ramsey M. Horn,Commander,Space Force,Schriever SFB CO,Orbital warfare,
5,Space Delta 1 Training,Space Training and Readiness Command,COL Krista N. St Romain,Commander,Space Force,Peterson SFB CO,Space training,
5,Space Delta 10 Wargaming,Space Training and Readiness Command,COL Shannon DaSilva,Commander,Space Force,Peterson SFB CO,Space wargaming,
5,Space Delta 11 Range Aggressors,Space Training and Readiness Command,COL Agustin Carrero,Commander,Space Force,Peterson SFB CO,Space aggressors,
5,Space Delta 12 Test Evaluation,Space Training and Readiness Command,COL Sacha Tomlinson,Commander,Space Force,Peterson SFB CO,Space test,
5,Space Delta 13 Education,Space Training and Readiness Command,COL Alison R. Gonzalez,Commander,Space Force,Peterson SFB CO,Space education,
5,Space Launch Delta 30,Space Systems Command,COL James Horne,Commander,Space Force,Vandenberg SFB CA,Western launch,
5,Space Launch Delta 45,Space Systems Command,COL Brian L. Chatman,Director Eastern Range,Space Force,Patrick SFB FL,Eastern launch,
5,Space Base Delta 2,Space Systems Command,COL Eamon R. Murray,Commander,Space Force,Peterson SFB CO,Base support,
5,PAE Space-Based Sensing and Targeting,Space Systems Command,COL Ryan Frazier,Acting PAE,Space Force,Los Angeles AFB CA,Space-based sensing,
5,PAE Assured Access to Space,Space Systems Command,COL Eric Zarybnisky,Portfolio Acquisition Executive,Space Force,Los Angeles AFB CA,Space access,
5,PAE Space Combat Power,Space Systems Command,COL Bryon E. C. McClain,Program Executive Officer,Space Force,Los Angeles AFB CA,Space combat power,
5,PAE Battle Management C3,Space Systems Command,Shannon Pallone,Portfolio Acquisition Executive,Space Force,Los Angeles AFB CA,Battle management,
5,PAE Military Comms and PNT,Space Systems Command,Erin Carper,Program Executive Officer,Space Force,Los Angeles AFB CA,Military comms and PNT,
5,PAE Operational Test and Training Infrastructure,Space Systems Command,COL Corey Klopstein,Program Executive Officer,Space Force,Los Angeles AFB CA,OTTI,
5,Space Systems Integration Office SSIO,Space Systems Command,COL Jon Strizzi,Director,Space Force,Los Angeles AFB CA,Space systems integration,
5,Commercial Space Office COMSO,Space Systems Command,COL Tim Trimailo,Director,Space Force,Los Angeles AFB CA,Commercial space,
5,System Delta 84,Space Systems Command,COL Stevie Medeiros,Commander,Space Force,Los Angeles AFB CA,Space sensing,
5,System Delta 85,Space Systems Command,COL Jason West,Commander,Space Force,Los Angeles AFB CA,Space domain awareness,
5,System Delta 810,Space Systems Command,COL Dane Bannach,Commander,Space Force,Los Angeles AFB CA,Space-based sensing,
5,System Delta 80,Space Systems Command,CAPT Ginny Weinert,Commander,Space Force,Los Angeles AFB CA,Assured access,
5,System Delta 81,Space Systems Command,COL Corey Klopstein,Commander,Space Force,Los Angeles AFB CA,OTTI,
5,System Delta 831,Space Systems Command,COL Neil Barnas,Commander,Space Force,Los Angeles AFB CA,PNT,
5,System Delta 88,Space Systems Command,COL A.J. Hammer Ashby,Commander,Space Force,Los Angeles AFB CA,SATCOM,
5,System Delta 89,Space Systems Command,COL Brendan Hochstein,Commander,Space Force,Los Angeles AFB CA,Combat power,
4,United States Coast Guard,Department of Homeland Security,ADM Kevin Lunday,Commandant,Coast Guard,Washington DC,Part of DHS not DoW,
5,Coast Guard Deputy Commandant for Mission Support,Coast Guard Headquarters,RADM Charles Fosse,Deputy Commandant,Coast Guard,Washington DC,CG mission support,
5,Coast Guard Deputy Commandant for Operations,Coast Guard Headquarters,RADM Douglas M. Schofield,Acting Deputy Commandant,Coast Guard,Washington DC,CG operations,
5,Coast Guard Deputy Commandant for Systems,Coast Guard Headquarters,RADM Chad Jacoby,Deputy Commandant,Coast Guard,Washington DC,CG systems,
5,Coast Guard Force Readiness Command FORCECOM,Coast Guard Headquarters,RADM Jeffrey K. Randall,Commander,Coast Guard,Norfolk VA,CG readiness,
5,Coast Guard Operational Logistics Command LOGCOM,Coast Guard Headquarters,RADM Carola List,Commander,Coast Guard,Norfolk VA,CG logistics,
5,Coast Guard Atlantic Area,Coast Guard Headquarters,VADM Nathan A. Moore,Commander,Coast Guard,Portsmouth VA,CG Atlantic,
5,Coast Guard Pacific Area,Coast Guard Headquarters,VADM Joseph R. Buzzella,Commander,Coast Guard,Alameda CA,CG Pacific,
5,Coast Guard Special Missions Command,Coast Guard Headquarters,Various,Commander,Coast Guard,Multiple,CG special missions,
5,Coast Guard Research and Development Center RDC,Coast Guard Headquarters,CAPT Michael Chien,Commanding Officer,Coast Guard,New London CT,CG R&D,
5,Coast Guard Aviation Logistics Center ALC,Coast Guard Headquarters,CAPT Christian Polyak,Commanding Officer,Coast Guard,Elizabeth City NC,CG aviation logistics,
5,Coast Guard Surface Forces Logistics Center SFLC,Coast Guard Headquarters,CAPT Andrew Pecora,Commanding Officer,Coast Guard,Baltimore MD,CG surface logistics,
5,Coast Guard C5I Service Center C5ISC,Coast Guard Headquarters,CAPT Benjamin Goff,Commanding Officer,Coast Guard,Alexandria VA,CG C5I,
5,Coast Guard Shore Infrastructure Logistics Center SILC,Coast Guard Headquarters,CAPT John Berry,Commanding Officer,Coast Guard,Norfolk VA,CG shore,
5,PEO Robotics and Autonomous Systems,Coast Guard Systems,Mr. Anthony J.L. Antognoli,Program Executive Officer,Coast Guard,Washington DC,CG RAS,
5,CG-RAPTOR Team,Coast Guard Systems,CAPT Chad Brick,Chief,Coast Guard,Washington DC,CG rapid prototyping,
4,U.S. Central Command CENTCOM,Combatant Commands,ADM Brad Cooper,Commander,DoW,MacDill AFB FL,Central Command Middle East,
4,U.S. Africa Command AFRICOM,Combatant Commands,GEN Dagvin R.M. Anderson,Commander,DoW,Stuttgart Germany,Africa Command,
4,U.S. European Command EUCOM,Combatant Commands,GEN Alexus G. Grynkewich,Commander,DoW,Stuttgart Germany,European Command,
4,U.S. Indo-Pacific Command INDOPACOM,Combatant Commands,ADM Samuel Paparo,Commander,DoW,Camp H.M. Smith HI,Indo-Pacific Command,
4,U.S. Northern Command NORTHCOM,Combatant Commands,GEN Gregory M. Guillot,Commander,DoW,Peterson AFB CO,Northern Command,
4,U.S. Southern Command SOUTHCOM,Combatant Commands,LTG Frank Donovan,Commander,DoW,Miami FL,Southern Command,
4,U.S. Space Command SPACECOM,Combatant Commands,GEN Stephen N. Whiting,Commander,DoW,Schriever SFB CO,Space Command,
4,U.S. Special Operations Command SOCOM,Combatant Commands,ADM Frank Mitch M. Bradley,Commander,DoW,MacDill AFB FL,Special Operations Command,
4,U.S. Transportation Command TRANSCOM,Combatant Commands,GEN Randall Reed,Commander,DoW,Scott AFB IL,Transportation Command,
4,U.S. Strategic Command STRATCOM,Combatant Commands,ADM Richard Correll,Commander,DoW,Offutt AFB NE,Strategic Command,
4,U.S. Cyber Command CYBERCOM,Combatant Commands,LTG Joshua M. Rudd,Commander,DoW,Fort Meade MD,Cyber Command,
5,CENTCOM Headquarters,U.S. Central Command,MG Richard A. Harrison,Chief of Staff,DoW,MacDill AFB FL,CENTCOM staff,
5,U.S. Army Central ARCENT,U.S. Central Command,Various,Commander,Army,Shaw AFB SC,Army Central,
5,Naval Forces Central Command NAVCENT,U.S. Central Command,VADM Curt A. Renshaw,Commander,DoN,Manama Bahrain,5th Fleet,
5,Air Forces Central Command AFCENT,U.S. Central Command,LTG Derek C. France,Commander,Air Force,Shaw AFB SC,9th Air Force,
5,Marine Forces Central MARCENT,U.S. Central Command,LTG Joseph Clearfield,Commander,DoN,MacDill AFB FL,Marine Central,
5,Special Operations Command Central SOCCENT,U.S. Central Command,MG Jasper Jeffers,Commander,DoW,MacDill AFB FL,SOF Central,
5,U.S. Space Forces Central SPACECENT,U.S. Central Command,COL Chris Putman,Commander,Space Force,MacDill AFB FL,Space Central,
5,AFRICOM Headquarters,U.S. Africa Command,MG Matthew G. Trollinger,Chief of Staff,DoW,Stuttgart Germany,AFRICOM staff,
5,U.S. Air Forces Africa USAFE-AFAFRICA,U.S. Africa Command,LTG Jason T. Hinds,Commander,Air Force,Stuttgart Germany,Air Force Africa,
5,U.S. Naval Forces Africa NAVAF,U.S. Africa Command,ADM George M. Wikoff,Commander,DoN,Stuttgart Germany,Naval Africa,
5,Special Operations Command Africa,U.S. Africa Command,MG Claude K. Tudor Jr.,Commander,DoW,Stuttgart Germany,SOF Africa,
5,EUCOM Headquarters,U.S. European Command,Various,Deputy Commander,DoW,Stuttgart Germany,EUCOM staff,
5,U.S. Air Forces in Europe USAFE,U.S. European Command,LTG Jason T. Hinds,Commander,Air Force,Stuttgart Germany,Air Force Europe,
5,U.S. Naval Forces Europe-Africa NAVEUR-NAVAF,U.S. European Command,ADM George M. Wikoff,Commander,DoN,Stuttgart Germany,Naval Europe-Africa,
5,Special Operations Command Europe SOCEUR,U.S. European Command,LTG Richard E. Angle,Deputy Commander,DoW,Stuttgart Germany,SOF Europe,
5,INDOPACOM Headquarters,U.S. Indo-Pacific Command,MG Joel Joker L. Carey,Chief of Staff,DoW,Camp H.M. Smith HI,INDOPACOM staff,
5,U.S. Pacific Fleet PACFLT,U.S. Indo-Pacific Command,ADM Stephen Web Koehler,Commander,DoN,Pearl Harbor HI,Pacific Fleet,
5,U.S. Pacific Air Forces PACAF,U.S. Indo-Pacific Command,GEN Kevin B. Schneider,Commander,Air Force,Hickam AFB HI,Pacific Air,
5,U.S. Forces Japan USFJ,U.S. Indo-Pacific Command,LTG Stephen F. Jost,Commander,DoW,Yokota AB Japan,US Forces Japan,
5,U.S. Forces Korea USFK,U.S. Indo-Pacific Command,GEN Xavier T. Brunson,Commander,DoW,Yongsan Korea,US Forces Korea,
5,Special Operations Command Pacific SOCPAC,U.S. Indo-Pacific Command,MG Jeffrey A. VanAntwerp,Commander,DoW,Camp H.M. Smith HI,SOF Pacific,
5,U.S. Space Forces Indo-Pacific,U.S. Indo-Pacific Command,BG Brian A. Denaro,Commander,Space Force,Joint Base Pearl Harbor HI,Space INDOPACOM,
5,Joint Interagency Task Force West JIATF West,U.S. Indo-Pacific Command,CAPT George Howell,Director,DoW,Camp H.M. Smith HI,Counterdrug task force,
5,NORTHCOM Headquarters,U.S. Northern Command,MG John V. Meyer III,Chief of Staff,DoW,Peterson AFB CO,NORTHCOM staff,
5,SOUTHCOM Headquarters,U.S. Southern Command,LTG Evan L. Pettus,Deputy Commander,DoW,Miami FL,SOUTHCOM staff,
5,U.S. Naval Forces Southern Command,U.S. Southern Command,RADM Carlos Sardiello,Commander,DoN,Mayport FL,4th Fleet,
5,Air Forces Southern AFSOUTH,U.S. Southern Command,MG David A. Mineau,Commander,Air Force,Davis-Monthan AFB AZ,12th Air Force,
5,Special Operations Command South SOCSOUTH,U.S. Southern Command,RADM Mark A. Schafer,Commander,DoW,Miami FL,SOF South,
5,SPACECOM Headquarters,U.S. Space Command,MG Sean N. Day,Mobilization Assistant,DoW,Schriever SFB CO,SPACECOM staff,
5,U.S. Space Forces Space S4S,U.S. Space Command,LTG Dennis Bythewood,Commander,Space Force,Schriever SFB CO,Space Forces Space,
5,SOCOM Headquarters,U.S. Special Operations Command,MG Guillaume N. Beaurpere,Chief of Staff,DoW,MacDill AFB FL,SOCOM staff,
5,Joint Special Operations Command JSOC,U.S. Special Operations Command,LTG Jonathan P. Braga,Commander,DoW,Fort Bragg NC,JSOC,
5,Naval Special Warfare Command SEALs,U.S. Special Operations Command,RADM Walter H. Allman III,Commander,DoN,Coronado CA,Naval special warfare,
5,1st Special Forces Command,U.S. Special Operations Command,BG Joseph Wortham,Commander,Army,Fort Bragg NC,Special forces,
5,Air Force Special Operations Command AFSOC,U.S. Special Operations Command,LTG Michael E. Conley,Commander,Air Force,Hurlburt Field FL,AFSOC,
5,Marine Special Operations Command MARSOC,U.S. Special Operations Command,MG Peter D. Huntley,Commander,DoN,Camp Lejeune NC,MARSOC,
5,PEO Fixed Wing,SOCOM Acquisition,COL T. Justin Bronder,Program Executive Officer,DoW,Patuxent River MD,SOF fixed wing,
5,PEO Maritime,SOCOM Acquisition,CAPT Jared Wyrick,Program Executive Officer,DoW,Panama City FL,SOF maritime,
5,PEO Rotary Wing,SOCOM Acquisition,Steve Smith,Program Executive Officer,DoW,Patuxent River MD,SOF rotary wing,
5,PEO Digital Applications,SOCOM Acquisition,COL Leilani Tydingco-Amarante,Program Executive Officer,DoW,MacDill AFB FL,SOF digital,
5,PEO Services,SOCOM Acquisition,Mr. Pete Greany,Program Executive Officer,DoW,MacDill AFB FL,SOF services,
5,PEO SOFSA,SOCOM Acquisition,COL Joshua M. Walter,Program Executive Officer,DoW,MacDill AFB FL,SOF support activity,
5,PEO Warrior,SOCOM Acquisition,COL Robert Ramsey Oliver,Program Executive Officer,DoW,MacDill AFB FL,SOF warrior,
5,PEO Tactical Information Systems,SOCOM Acquisition,Jennifer Powers,Acting Program Executive Officer,DoW,MacDill AFB FL,SOF tactical info systems,
5,Joint Special Operations University,SOCOM,Dr. Paul D. Brister,President,DoW,MacDill AFB FL,SOF education,
5,SOFWERX,SOCOM,Leslie Babich,Director,DoW,Tampa FL,SOF innovation hub,
5,TRANSCOM Headquarters,U.S. Transportation Command,RADM Kristin Acquavella,Chief of Staff,DoW,Scott AFB IL,TRANSCOM staff,
5,Air Mobility Command AMC,U.S. Transportation Command,LTG Daniel H. Tulley,Commander,Air Force,Scott AFB IL,Air mobility,
5,Joint Enabling Capabilities Command,U.S. Transportation Command,MG Michael E. McWilliams,Commander,DoW,Norfolk VA,Joint enabling capabilities,
5,STRATCOM Headquarters,U.S. Strategic Command,MG John Weidner,Chief of Staff,DoW,Offutt AFB NE,STRATCOM staff,
5,Air Force Global Strike Command AFGSC,U.S. Strategic Command,GEN Stephen L. Davis,Commander,Air Force,Barksdale AFB LA,Strategic nuclear,
5,Joint Force Maritime Component Command,U.S. Strategic Command,ADM Karl Thomas,Commander,DoN,Norfolk VA,Maritime component,
5,CYBERCOM Headquarters,U.S. Cyber Command,Patrick Ware SES,Executive Director,DoW,Fort Meade MD,CYBERCOM staff,
5,DoD Cyber Defense Command DCDC,U.S. Cyber Command,LTG Paul T. Stanton,Commander,DoW,Fort Meade MD,Cyber defense,
5,Fleet Cyber Command 10th Fleet,U.S. Cyber Command,VADM Heidi K. Berg,Commander,DoN,Fort Meade MD,Fleet cyber,
5,16th Air Force Air Forces Cyber,U.S. Cyber Command,LTG Thomas K. Hensley,Commander,Air Force,Lackland AFB TX,AFCYBER,
5,Army Cyber Command ARCYBER,U.S. Cyber Command,LTG Christopher Eubank,Commander,Army,Fort Eisenhower GA,Army cyber,
5,Marine Forces Cyberspace Command MARFORCYBER,U.S. Cyber Command,MG Joseph A. Matos III,Commanding General,DoN,Fort Meade MD,Marine cyber,
3,Defense Logistics Agency DLA,ASD Sustainment,LTG Mark Simerly,Director,DoD,Fort Belvoir VA,Global logistics,
3,Defense Information Systems Agency DISA,USD I&S,LTG Paul T. Stanton,Director,DoD,Fort Meade MD,IT and communications,
3,Defense Intelligence Agency DIA,USD I&S,LTG James H. Adams,Director,DoD,Joint Base Anacostia-Bolling,Military intelligence,
3,Defense Counterintelligence and Security Agency DCSA,USD I&S,Joseph Tonon,Director,DoD,Boyers PA,Counterintelligence and security,
3,Defense Threat Reduction Agency DTRA,ASD ND-CBD,MG Lyle K. Drew,Acting Director,DoD,Fort Belvoir VA,Threat reduction,
3,Defense Health Agency DHA,USD P&R,VADM Darin K. Via,Director,DoD,Falls Church VA,Military health,
3,Defense Contract Management Agency DCMA,USD A&S,VADM Stephen Tedford,Director,DoD,Fort Lee VA,Contract management,
3,Defense Commissary Agency,USD P&R,Mr. John Hall,Director and CEO,DoD,Fort Gregg-Adams VA,Commissary,
3,Pentagon Force Protection Agency,OSW,Various,Director,DoD,Pentagon,Pentagon security,
3,Defense Media Activity,OSW,Various,Director,DoD,Fort Meade MD,Defense media,
3,Defense Finance and Accounting Service DFAS,USD Comptroller,Mr. Jonathan Witter,Director,DoD,Indianapolis IN,Finance and accounting,
3,Defense Contract Audit Agency DCAA,USD Comptroller,Ms. Jennifer L. Desautel,Director,DoD,Fort Belvoir VA,Contract audit,
3,Defense Technical Information Center DTIC,USD R&E,Dr. Rubino-Hallman,Acting Administrator,DoD,Fort Belvoir VA,Technical information,
2,Office of Personnel Management OPM,Executive Branch,Scott Kupor,Director,Federal,Washington DC,Federal HR agency,
2,Office of Science and Technology Policy OSTP,White House,Michael Kratsios,Director and U.S. CTO,Federal,Washington DC,White House science office,
2,Office of the National Cyber Director NCD,White House,Sean Cairncross,National Cyber Director,Federal,Washington DC,Cyber director,
2,Government Accountability Office GAO,Congress,Orice Williams Brown,Acting U.S. Comptroller General,Federal,Washington DC,Government watchdog,
2,White House Office of Management and Budget OMB,White House,Russell Vought,Director,Federal,Washington DC,Federal budget office,
2,Department of Energy DOE,Executive Branch,Chris Wright,Secretary of Energy,Federal,Washington DC,Energy department,
2,Department of Commerce DOC,Executive Branch,Howard Lutnick,Secretary of Commerce,Federal,Washington DC,Commerce department,
2,Department of Treasury,Executive Branch,Scott Bessent,Secretary of Treasury,Federal,Washington DC,Treasury department,
2,Department of State,Executive Branch,Marco Rubio,Secretary of State,Federal,Washington DC,State department,
2,Export-Import Bank EXIM Bank,Executive Branch,John Jovanovic,President and Chairman,Federal,Washington DC,Export credit agency,
2,U.S. International Development Finance Corporation DFC,Executive Branch,Ben Black,CEO,Federal,Washington DC,Development finance,
2,Nuclear Regulatory Commission NRC,Executive Branch,Various,Chairman,Federal,Rockville MD,Nuclear regulator,
2,National Science Foundation NSF,Executive Branch,Various,Director,Federal,Alexandria VA,Science foundation,
2,National Aeronautics and Space Administration NASA,Executive Branch,Bill Nelson (former),Administrator,Federal,Washington DC,Space agency,
2,General Services Administration GSA,Executive Branch,Edward Forst,Administrator,Federal,Washington DC,Federal property management,
